name,x,y
poly_2,65.98,14.566
poly_2,65.958,14.573
poly_2,65.947,14.575
poly_2,65.891,14.589
poly_2,65.829,14.618
poly_2,65.682,14.53
poly_2,65.422,14.501
poly_2,65.344,14.504
poly_2,65.31,14.506
poly_2,65.248,14.379
poly_2,65.133,14.331
poly_2,65.058,14.24
poly_2,65.04,14.215
poly_2,65.028,14.198
poly_2,64.963,14.109
poly_2,64.961,14.107
poly_2,64.9,14.028
poly_2,64.879,14.002
poly_2,64.869,13.99
poly_2,64.862,13.981
poly_2,64.828,13.939
poly_2,64.726,13.812
poly_2,64.64,13.706
poly_2,64.637,13.703
poly_2,64.612,13.681
poly_2,64.581,13.655
poly_2,64.58,13.654
poly_2,64.566,13.701
poly_2,64.55,13.752
poly_2,64.513,13.872
poly_2,64.471,14.098
poly_2,64.462,14.114
poly_2,64.251,14.149
poly_2,64.195,14.157
poly_2,64.014,13.974
poly_2,64.031,13.813
poly_2,64.095,13.211
poly_2,64.089,13.16
poly_2,64.062,12.955
poly_2,64.026,12.834
poly_2,64.003,12.766
poly_2,63.974,12.686
poly_2,63.9,12.587
poly_2,63.718,12.335
poly_2,63.684,12.308
poly_2,63.661,12.28
poly_2,63.627,12.219
poly_2,63.594,12.15
poly_2,63.479,12.213
poly_2,63.456,12.189
poly_2,63.418,12.148
poly_2,63.406,12.136
poly_2,63.356,12.084
poly_2,63.337,12.06
poly_2,63.315,12.032
poly_2,63.269,11.975
poly_2,63.268,11.975
poly_2,63.215,12.024
poly_2,63.183,12.052
poly_2,63.14,12.092
poly_2,63.021,12.199
poly_2,63,12.218
poly_2,62.973,12.178
poly_2,62.954,12.15
poly_2,62.91,12.085
poly_2,62.903,12.075
poly_2,62.856,12.093
poly_2,62.83,12.104
poly_2,62.792,12.119
poly_2,62.748,12.136
poly_2,62.706,12.112
poly_2,62.672,12.091
poly_2,62.642,12.074
poly_2,62.612,12.056
poly_2,62.458,12.165
poly_2,62.331,12.255
poly_2,62.265,12.298
poly_2,62.119,12.256
poly_2,62.075,12.241
poly_2,61.872,12.183
poly_2,61.868,12.182
poly_2,61.734,12.141
poly_2,61.721,12.142
poly_2,61.563,12.42
poly_2,61.568,12.568
poly_2,61.379,12.84
poly_2,61.37,12.853
poly_2,61.356,12.871
poly_2,61.355,12.87
poly_2,61.291,12.846
poly_2,61.264,12.836
poly_2,61.258,12.834
poly_2,61.24,12.821
poly_2,61.197,12.79
poly_2,61.143,12.707
poly_2,61.055,12.668
poly_2,61.053,12.656
poly_2,61.048,12.563
poly_2,61.051,12.492
poly_2,61.052,12.487
poly_2,61.041,12.385
poly_2,61.033,12.329
poly_2,61.026,12.289
poly_2,61.019,12.24
poly_2,61.001,12.235
poly_2,60.962,12.268
poly_2,60.923,12.303
poly_2,60.908,12.316
poly_2,60.893,12.33
poly_2,60.89,12.333
poly_2,60.855,12.334
poly_2,60.847,12.337
poly_2,60.734,12.395
poly_2,60.662,12.488
poly_2,60.56,12.569
poly_2,60.555,12.576
poly_2,60.523,12.6
poly_2,60.482,12.606
poly_2,60.475,12.606
poly_2,60.392,12.591
poly_2,60.385,12.585
poly_2,60.372,12.571
poly_2,60.349,12.547
poly_2,60.344,12.538
poly_2,60.335,12.521
poly_2,60.324,12.499
poly_2,60.294,12.503
poly_2,60.278,12.505
poly_2,60.255,12.514
poly_2,60.222,12.526
poly_2,60.22,12.527
poly_2,60.136,12.517
poly_2,60.103,12.502
poly_2,60.093,12.496
poly_2,60.088,12.492
poly_2,60.063,12.471
poly_2,60.036,12.442
poly_2,60.014,12.393
poly_2,60.001,12.379
poly_2,59.972,12.348
poly_2,59.942,12.272
poly_2,59.902,12.191
poly_2,59.89,12.174
poly_2,59.889,12.169
poly_2,59.887,12.153
poly_2,59.886,12.054
poly_2,59.886,12.053
poly_2,59.898,11.99
poly_2,59.899,11.986
poly_2,59.9,11.986
poly_2,59.901,11.985
poly_2,59.9,11.981
poly_2,59.892,11.95
poly_2,59.89,11.942
poly_2,59.888,11.938
poly_2,59.887,11.934
poly_2,59.886,11.932
poly_2,59.886,11.93
poly_2,59.886,11.929
poly_2,59.882,11.922
poly_2,59.878,11.922
poly_2,59.877,11.922
poly_2,59.873,11.917
poly_2,59.872,11.912
poly_2,59.872,11.909
poly_2,59.872,11.908
poly_2,59.872,11.907
poly_2,59.872,11.899
poly_2,59.872,11.898
poly_2,59.872,11.893
poly_2,59.872,11.892
poly_2,59.872,11.891
poly_2,59.872,11.89
poly_2,59.872,11.885
poly_2,59.87,11.882
poly_2,59.869,11.882
poly_2,59.864,11.883
poly_2,59.863,11.884
poly_2,59.862,11.884
poly_2,59.862,11.885
poly_2,59.862,11.886
poly_2,59.854,11.878
poly_2,59.853,11.877
poly_2,59.853,11.876
poly_2,59.85,11.87
poly_2,59.85,11.869
poly_2,59.849,11.867
poly_2,59.848,11.864
poly_2,59.848,11.863
poly_2,59.847,11.861
poly_2,59.847,11.859
poly_2,59.847,11.858
poly_2,59.846,11.857
poly_2,59.845,11.854
poly_2,59.844,11.848
poly_2,59.843,11.847
poly_2,59.842,11.842
poly_2,59.842,11.841
poly_2,59.842,11.84
poly_2,59.841,11.84
poly_2,59.84,11.84
poly_2,59.835,11.846
poly_2,59.834,11.848
poly_2,59.83,11.854
poly_2,59.83,11.857
poly_2,59.83,11.858
poly_2,59.83,11.859
poly_2,59.83,11.86
poly_2,59.83,11.863
poly_2,59.829,11.866
poly_2,59.829,11.87
poly_2,59.829,11.876
poly_2,59.828,11.878
poly_2,59.827,11.88
poly_2,59.826,11.883
poly_2,59.824,11.886
poly_2,59.823,11.888
poly_2,59.822,11.888
poly_2,59.8,11.913
poly_2,59.8,11.914
poly_2,59.799,11.914
poly_2,59.799,11.915
poly_2,59.798,11.918
poly_2,59.797,11.919
poly_2,59.797,11.92
poly_2,59.796,11.921
poly_2,59.795,11.923
poly_2,59.794,11.926
poly_2,59.793,11.927
poly_2,59.791,11.927
poly_2,59.78,11.928
poly_2,59.695,11.94
poly_2,59.693,11.889
poly_2,59.653,11.862
poly_2,59.644,11.79
poly_2,59.643,11.779
poly_2,59.616,11.708
poly_2,59.609,11.698
poly_2,59.59,11.691
poly_2,59.491,11.747
poly_2,59.479,11.753
poly_2,59.458,11.76
poly_2,59.414,11.774
poly_2,59.345,11.816
poly_2,59.242,11.83
poly_2,59.207,11.783
poly_2,59.117,11.765
poly_2,59.115,11.764
poly_2,59.087,11.776
poly_2,59.034,11.711
poly_2,58.935,11.676
poly_2,58.906,11.652
poly_2,58.908,11.63
poly_2,58.907,11.628
poly_2,58.905,11.626
poly_2,58.902,11.618
poly_2,58.898,11.607
poly_2,58.897,11.604
poly_2,58.891,11.591
poly_2,58.899,11.553
poly_2,58.877,11.537
poly_2,58.877,11.536
poly_2,58.889,11.5
poly_2,58.889,11.498
poly_2,58.89,11.461
poly_2,58.889,11.456
poly_2,58.985,11.454
poly_2,58.988,11.458
poly_2,58.988,11.46
poly_2,58.989,11.462
poly_2,58.98,11.472
poly_2,59.042,11.418
poly_2,59.065,11.433
poly_2,59.056,11.407
poly_2,59.099,11.375
poly_2,59.119,11.388
poly_2,59.109,11.376
poly_2,59.118,11.37
poly_2,59.124,11.394
poly_2,59.089,11.21
poly_2,59.106,11.221
poly_2,59.092,11.2
poly_2,59.138,11.23
poly_2,59.111,11.195
poly_2,59.126,11.207
poly_2,59.117,11.183
poly_2,59.14,11.175
poly_2,59.145,11.203
poly_2,59.13,11.196
poly_2,59.147,11.215
poly_2,59.154,11.176
poly_2,59.197,11.184
poly_2,59.187,11.177
poly_2,59.197,11.142
poly_2,59.162,11.167
poly_2,59.145,11.12
poly_2,59.217,11.062
poly_2,59.143,11.111
poly_2,59.122,11.074
poly_2,59.14,11.071
poly_2,59.13,11.03
poly_2,59.162,11.044
poly_2,59.146,11.006
poly_2,59.187,11.013
poly_2,59.174,10.949
poly_2,59.136,10.931
poly_2,59.153,10.92
poly_2,59.148,10.899
poly_2,59.186,10.901
poly_2,59.175,10.884
poly_2,59.188,10.858
poly_2,59.153,10.825
poly_2,59.186,10.823
poly_2,59.197,10.807
poly_2,59.189,10.79
poly_2,59.207,10.806
poly_2,59.234,10.762
poly_2,59.264,10.793
poly_2,59.228,10.73
poly_2,59.282,10.732
poly_2,59.327,10.818
poly_2,59.304,10.722
poly_2,59.318,10.72
poly_2,59.323,10.755
poly_2,59.346,10.737
poly_2,59.304,10.686
poly_2,59.337,10.658
poly_2,59.435,10.653
poly_2,59.477,10.691
poly_2,59.527,10.69
poly_2,59.522,10.669
poly_2,59.559,10.648
poly_2,59.617,10.653
poly_2,59.674,10.62
poly_2,59.707,10.644
poly_2,59.682,10.617
poly_2,59.75,10.58
poly_2,59.871,10.658
poly_2,59.841,10.694
poly_2,59.717,10.712
poly_2,59.721,10.729
poly_2,59.802,10.735
poly_2,59.86,10.785
poly_2,59.886,10.745
poly_2,59.906,10.76
poly_2,59.918,10.689
poly_2,59.903,10.702
poly_2,59.894,10.675
poly_2,59.92,10.672
poly_2,59.874,10.606
poly_2,59.886,10.619
poly_2,59.881,10.595
poly_2,59.89,10.614
poly_2,59.893,10.592
poly_2,59.903,10.612
poly_2,59.891,10.529
poly_2,59.877,10.505
poly_2,59.846,10.497
poly_2,59.837,10.47
poly_2,59.839,10.511
poly_2,59.821,10.476
poly_2,59.803,10.504
poly_2,59.694,10.518
poly_2,59.666,10.6
poly_2,59.596,10.618
poly_2,59.57,10.617
poly_2,59.52,10.511
poly_2,59.531,10.414
poly_2,59.607,10.441
poly_2,59.612,10.413
poly_2,59.623,10.442
poly_2,59.685,10.431
poly_2,59.69,10.395
poly_2,59.716,10.37
poly_2,59.716,10.318
poly_2,59.749,10.283
poly_2,59.737,10.213
poly_2,59.684,10.362
poly_2,59.66,10.388
poly_2,59.592,10.414
poly_2,59.581,10.39
poly_2,59.563,10.409
poly_2,59.531,10.382
poly_2,59.532,10.334
poly_2,59.566,10.232
poly_2,59.439,10.383
poly_2,59.454,10.445
poly_2,59.441,10.443
poly_2,59.417,10.499
poly_2,59.37,10.462
poly_2,59.322,10.498
poly_2,59.316,10.529
poly_2,59.275,10.491
poly_2,59.255,10.504
poly_2,59.265,10.488
poly_2,59.245,10.469
poly_2,59.272,10.434
poly_2,59.259,10.427
poly_2,59.278,10.396
poly_2,59.275,10.372
poly_2,59.227,10.376
poly_2,59.212,10.358
poly_2,59.22,10.338
poly_2,59.147,10.307
poly_2,59.13,10.33
poly_2,59.138,10.28
poly_2,59.056,10.308
poly_2,59.126,10.265
poly_2,59.042,10.268
poly_2,59.127,10.223
poly_2,59.077,10.206
poly_2,59.042,10.232
poly_2,59.023,10.208
poly_2,59.004,10.132
poly_2,59.026,10.129
poly_2,59.04,10.177
poly_2,59.053,10.165
poly_2,59.015,10.073
poly_2,59.043,10.066
poly_2,59.037,10.041
poly_2,59.051,10.022
poly_2,58.978,10.04
poly_2,58.97,9.985
poly_2,58.984,9.972
poly_2,58.962,9.963
poly_2,58.98,9.924
poly_2,58.966,9.907
